model	parname	begin	num	default	type	pim.type	link	formula	share	pair	mix	rows	secondary	bystratum	tostrata	sub.stratum	leave.unused	socc	subset	events			
2SpecConOccup	rBa	0	0	0	Square	all	logit			rBA													
MultScalOcc	Psi	0	1		Square	all	logit	~1					FALSE										
MultScalOcc	Theta	0	0		Square	all	logit	~1					FALSE										
MultScalOcc	p	0	0	0	Square	all	logit	~1					TRUE					FALSE					
RDPdGClosed	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdGClosed	Gamma	0	-1	1	Square	all	logit	~1					FALSE										
RDPdGClosed	p	0	0	0	Square	all	logit	~1	FALSE	c			TRUE										
RDPdGClosed	c	1	-1	0	Square	all	logit			p			TRUE										
RDPdGClosed	f0	0			Square	all	log	~session					TRUE										
RDPdGHuggins	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdGHuggins	Gamma	0	-1	1	Square	all	logit	~1					FALSE										
RDPdGHuggins	p	0	0	0	Square	all	logit	~1	FALSE	c			TRUE										
RDPdGHuggins	c	1	-1	0	Square	all	logit			p			TRUE										
RDPdGHet	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdGHet	Gamma	0	-1	1	Square	all	logit	~1					FALSE										
RDPdGHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDPdGHet	p	0		0	Square	all	logit	~1			TRUE	0	TRUE										
RDPdGHet	f0	0			Square	all	log	~session					TRUE										
RDPdGFullHet	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdGFullHet	Gamma	0	-1	1	Square	all	logit	~1					FALSE										
RDPdGFullHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDPdGFullHet	p	0	0	0	Square	all	logit	~1	FALSE	c	TRUE	0	TRUE										
RDPdGFullHet	c	1	-1	0	Square	all	logit			p	TRUE	0	TRUE										
RDPdGFullHet	f0	0			Square	all	log	~session			FALSE		TRUE										
RDPdGHugFullHet	Phi	0	-1	1	Square	all	logit	~1					FALSE										
